#OTU ID	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo103442	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	1	0	3	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
denovo103467	5	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	1	0	0
denovo103499	0	6	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	0	3	0	5	0	0	0	5	0	2	3	0
denovo103508	2	1	13	2	5	2	0	3	1	1	1	0	0	0	0	0	0	2	1	6	0	0	0	0	1	2	0	2	0	2	2	0	4	0	0	0	3	0	3	3	0	0
denovo103519	0	0	0	0	0	2	5	0	0	6	0	3	0	0	0	8	0	3	3	0	1	1	0	0	1	1	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0
denovo103589	0	0	15	3	1	7	17	36	0	26	15	0	3	2	6	9	14	0	0	2	2	0	2	0	6	4	0	1	1	1	0	1	5	2	0	4	0	2	0	12	0	0
denovo103613	1	2	0	1	2	0	6	0	0	0	0	0	1	0	3	1	4	0	1	2	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
denovo103616	0	0	0	0	2	2	2	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	2	0	1	1	1	1	0	1	0	0
denovo103664	0	5	0	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	2	1	0	1	2	0	0	0	1	0	1	0	0	0
denovo103694	3	0	0	15	0	0	0	4	0	0	0	0	0	1	1	2	0	0	2	0	1	0	0	0	0	5	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	3
denovo103703	2	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
denovo103837	1	0	2	0	0	0	0	8	1	0	0	0	0	0	1	3	0	3	0	1	0	0	0	0	0	2	4	0	0	1	0	0	3	1	0	1	0	0	3	0	2	1
denovo103846	1	1	0	2	0	1	0	0	2	0	2	0	5	9	0	2	0	6	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	5
denovo103857	1	0	18	16	0	0	9	0	0	4	2	0	2	1	0	5	3	0	1	0	10	0	0	0	0	0	0	2	0	0	1	2	6	0	0	2	0	0	3	7	1	0
denovo103863	1	1	0	1	0	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	0	0	2	0	2	0	4	0	2	1	2	2	0	0	4	0	0	0	2	0	1	0
denovo103874	0	0	2	0	0	0	3	0	11	7	0	0	2	1	0	4	3	0	0	0	0	4	12	0	0	3	0	0	4	2	0	5	0	0	1	0	2	0	0	0	0	0
denovo103886	0	2	0	3	0	2	12	0	1	1	3	0	0	0	0	0	1	1	0	1	2	1	0	2	1	3	3	6	0	1	0	0	5	1	0	0	0	2	0	0	0	1
