#OTU ID	taxonomy	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo57251	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	186	147	39	308	54	246	76	31	280	164	48	242	167	286	299	22	136	174	230	105	141	118	192	652	99	112	489	215	287	175	94	173	41	284	383	28	93	47	81	267	165	348
denovo57267	Unassigned	0	0	0	0	1	5	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	2	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	1	0
denovo57311	Unassigned	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	3	0	1	0	0	1	1	4	2	0	0	5	0
denovo57370	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	2	0	1	0	1	1	0	2	3	1	0	0	0	0	0	0	2	0
denovo57372	Unassigned	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	1	1	2	0	1	0	0	1	1	0	1	2	1	1	1	1	0	1	0	0
denovo57416	Unassigned	7	1	1	3	3	7	4	2	5	0	0	3	3	1	0	1	3	1	1	1	0	1	3	1	14	5	1	1	3	1	2	1	4	4	2	1	3	0	1	1	3	2
denovo57455	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	1	0	4	0	0	1	2	0	3	0	0	0	1	1	0	0	2	0	0	1	0	5	7	0	0	0	0	4	2	1	0	1	1	0	1	0	1	0	0	0	0	0
denovo57500	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	3	2	3	0	1	1	0	2	0	0	1	1	0	4	1	1	1	0	2	10	0	2	1	2	0	2	3	4	8	0	1	0	0	4	12	3	3	2	0	0	4	3
denovo57515	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	99	42	213	151	29	49	109	80	40	60	36	15	39	59	39	89	79	132	75	101	447	33	13	22	117	91	52	70	7	94	114	187	255	45	94	63	24	23	106	579	25	77
denovo57536	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	2	2	1	1	0	0	3	1	0	0	3	0	2	3	0	1	1	0	0	0	5	2	0
